ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S0044-59672007000400019-scl","Physiological responses of pirarucu (Arapaima gigas) to acute handling stress","Gomes, Levy de Carvalho","Acta Amazonica; 37(4); 629-633","Acta Amazonica","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672007000400019&lang=pt" 
"S1679-62252006000200007-scl","Chromosomal characterization of the bonytongue Arapaima gigas (Osteoglossiformes: Arapaimidae)","Marques, Debora Karla, Venere, Paulo Cesar, Galetti Junior, Pedro Manoel","Neotropical Ichthyology; 4(2); 215-218","Neotropical Ichthyology","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252006000200007&lang=pt" 
"S0044-59672006000300010-scl","Respostas de estresse em pirarucu (Arapaima gigas) durante práticas de rotina em piscicultura","Brandão, Franmir Rodrigues, Gomes, Levy de Carvalho, Chagas, Edsandra Campos","Acta Amazonica; 36(3); 349-356","Acta Amazonica","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672006000300010&lang=pt" 
"S0100-204X2005001200009-scl","Influência do período de alimentação no consumo e ganho de peso do pirarucu","Crescêncio, Roger, Ituassú, Daniel Rabello, Roubach, Rodrigo, Pereira Filho, Manoel, Cavero, Bruno Adan Sagratzki, Gandra, André Lima","Pesquisa Agropecuária Brasileira; 40(12); 1217-1222","Pesquisa Agropecuária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2005001200009&lang=pt" 
"S1679-62252005000200010-scl","Feeding of juvenile pirarucu (Arapaima gigas, Arapaimidae) in their natural environment, lago Quatro Bocas, Araguaiana-MT, Brazil","Oliveira, Valdézio de, Poleto, Stephania Luz, Venere, Paulo Cesar","Neotropical Ichthyology; 3(2); 312-314","Neotropical Ichthyology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252005000200010&lang=pt" 
"S0100-204X2005000300009-scl","Níveis de proteína bruta para juvenis de pirarucu","Ituassú, Daniel Rabello, Pereira Filho, Manoel, Roubach, Rodrigo, Crescêncio, Roger, Cavero, Bruno Adan Sagratzki, Gandra, André Lima","Pesquisa Agropecuária Brasileira; 40(3); 255-259","Pesquisa Agropecuária Brasileira","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2005000300009&lang=pt" 
"S0100-204X2004000500015-scl","Tolerância de juvenis de pirarucu ao aumento da concentração de amônia em ambiente confinado","Cavero, Bruno Adan Sagratzki, Pereira-Filho, Manoel, Bordinhon, André Moreira, Fonseca, Flávio Augusto Leão da, Ituassú, Daniel Rabello, Roubach, Rodrigo, Ono, Eduardo Akifumi","Pesquisa Agropecuária Brasileira; 39(5); 513-516","Pesquisa Agropecuária Brasileira","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2004000500015&lang=pt" 
"S0044-59672003000400010-scl","Transport of Pirarucu Arapaima gigas juveniles in plastic bag","Gomes, Levy de Carvalho, Roubach, Rodrigo, Cavero, Bruno Adan Sagratzki, Pereira-Filho, Manoel, Urbinati, Elisabeth Criscuolo","Acta Amazonica; 33(4); 637-642","Acta Amazonica","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672003000400010&lang=pt" 
"S0044-59672003000400017-scl","Cultivo do Pirarucu (Arapaima gigas) em viveiro escavado","Pereira-Filho, Manoel, Cavero, Bruno Adan Sagratzki, Roubach, Rodrigo, Ituassú, Daniel Rabello, Gandra, André Lima, Crescêncio, Roger","Acta Amazonica; 33(4); 715-718","Acta Amazonica","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672003000400017&lang=pt" 
"S0044-59672003000400009-scl","Efeito da densidade de estocagem sobre a eficiência alimentar de juvenis de Pirarucu (Arapaima gigas) em ambiente confinado","Cavero, Bruno Adan Sagratzki, Pereira-Filho, Manoel, Roubach, Rodrigo, Ituassú, Daniel Rabello, Gandra, André Lima, Crescêncio, Roger","Acta Amazonica; 33(4); 631-636","Acta Amazonica","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672003000400009&lang=pt" 
"S0100-204X2003000800015-scl","Uso de alimento vivo como dieta inicial no treinamento alimentar de juvenis de pirarucu","Cavero, Bruno Adan Sagratzki, Ituassú, Daniel Rabello, Pereira-Filho, Manoel, Roubach, Rodrigo, Bordinhon, André Moreira, Fonseca, Flávio Augusto Leão da, Ono, Eduardo Akifumi","Pesquisa Agropecuária Brasileira; 38(8); 1011-1015","Pesquisa Agropecuária Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2003000800015&lang=pt" 
"S0100-204X2003000600008-scl","Biomassa sustentável de juvenis de pirarucu em tanques-rede de pequeno volume","Cavero, Bruno Adan Sagratzki, Pereira-Filho, Manoel, Roubach, Rodrigo, Ituassú, Daniel Rabello, Gandra, André Lima, Crescêncio, Roger","Pesquisa Agropecuária Brasileira; 38(6); 723-728","Pesquisa Agropecuária Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2003000600008&lang=pt" 
"S0100-204X2003000100014-scl","Efeito da densidade de estocagem na homogeneidade do crescimento de juvenis de pirarucu em ambiente confinado","Cavero, Bruno Adan Sagratzki, Pereira-Filho, Manoel, Roubach, Rodrigo, Ituassú, Daniel Rabello, Gandra, André Lima, Crescêncio, Roger","Pesquisa Agropecuária Brasileira; 38(1); 103-107","Pesquisa Agropecuária Brasileira","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2003000100014&lang=pt" 
"S0104-71832001000200006-scl","A mística do Pirarucu: pesca, ethos e paisagem em comunidades rurais do baixo Amazonas","Murrieta, Rui Sérgio S.","Horizontes Antropológicos; 7(16); 113-130","Horizontes Antropológicos","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832001000200006&lang=pt" 
"S0044-59672001000200299-scl","Potencial de criação de Pirarucu, Arapaima gigas,em cativeiro","IMBIRIBA, Emir Palmeira","Acta Amazonica; 31(2); 299-299","Acta Amazonica","Português","2001","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672001000200299&lang=pt" 
"S0044-59671996000300185-scl","A PESCA ARTESANAL NO BAIXO AMAZONAS: ANÁLISE MULTIVARIADA DA CAPTURA POR ESPÉCIE.","ISAAC, Victoria Judith, MILSTEIN, Ana, RUFFINO, Mauro Luis","Acta Amazonica; 26(3); 185-208","Acta Amazonica","Português","1996","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671996000300185&lang=pt" 
"S0074-02761995000600009-scl","Scanning electron microscopic observations on Goezia spinulosa (Diesing, 1839) (Nematoda: Anisakidae) from Arapaima gigas (Cuvier, 1817)","Costa, Helio Martins de Araujo, Guimarães, Marcos Pezzi, Cabral, Dagmar Diniz, Mundim, Maria José Santos","Memórias do Instituto Oswaldo Cruz; 90(6); 703-705","Memórias do Instituto Oswaldo Cruz","Inglês","1995","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761995000600009&lang=pt" 
"S0044-59671993000400397-scl","INFLUÊNCIA DO SOMBREAMENTO NO DESENVOLVIMENTO DE MUDAS DE LOURO PIRARUCU (Licaria canella (Meissn.) Kosterm.)","PINTO, Antonio M., VARELA, Vania P., BATALHA, Lúcio F. P.","Acta Amazonica; 23(4); 397-404","Acta Amazonica","Português","1993","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671993000400397&lang=pt" 
"S0044-59671990000100321-scl","Elaboração de uma semi-conserva de pescado de água doce &quot;Picles de Peixe&quot;. I. Tempo de cura, acidificação, textura e nível de sal","Carvalho, Nilson Luiz de A., Lessi, Edson","Acta Amazonica; 20(); 321-329","Acta Amazonica","Português","1990","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671990000100321&lang=pt" 
"S0044-59671985000100185-scl","Determination of fat soluble vitamins from amazonian fresh-water fishes. I. HPLC analysis of tambaqui, pirarucu and cuiu-cuiu livers .","Marx, F., Maia, J. G. S.","Acta Amazonica; 15(1-2); 185-192","Acta Amazonica","Inglês","1985","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671985000100185&lang=pt" 
"S0044-59671982000400787-scl","Aspectos nutritivos de alguns peixes da Amazônia","Rocha, Yolanda Rebêlo da, Aguiar, Jaime Paiva Lopes, Marinho, Helyde Albuquerque, Shrimpton, Roger","Acta Amazonica; 12(4); 787-794","Acta Amazonica","Português","1982","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671982000400787&lang=pt" 
"S0044-59671982000200489-scl","On some insects and mites associated with dried and salted fish in Brazil","Flechtmann, Carlos H. W., Castelo, Francisco Pereira","Acta Amazonica; 12(2); 489-490","Acta Amazonica","Inglês","1982","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671982000200489&lang=pt" 
"S0044-59671980000200419-scl","Duas novas espécies de Caballerotrema (Trematoda: Echinostomatidae) do pirarucu e do aruanã (Osteoglossidae), com uma redefinição do gênero e uma redescriçào de C. brasiliense Prudhoe, 1960.","Thatcher, Vernon E.","Acta Amazonica; 10(2); 419-423","Acta Amazonica","Português","1980","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671980000200419&lang=pt" 
"S0044-59671978001100191-scl","Estudo das propriedades funcionais das hemoglobinas de Osteoglossum bicirrhosum e Arapaima gigas","Portus, Maria Isabel Galdames, Noble, Robert W., Farmer, Martha, Powers, Dennis A., Riggs, Austen, Brunori, Maurizio, Fyhn, Hans J., Fyhn, Unni E. H.","Acta Amazonica; 8(4); 191-204","Acta Amazonica","Português","1978","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59671978001100191&lang=pt" 
"S0074-02761974000200004-scl","Estudos de cestóides de peixes do Brasil","Rego, A. Arandas, Santos, Julio C. dos, Silva, Paulo P.","Memórias do Instituto Oswaldo Cruz; 72(3-4); 187-204","Memórias do Instituto Oswaldo Cruz","Português","1974","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761974000200004&lang=pt" 
