ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S1981-81222018000100159-scl","O incentivo à pesca comercial de Arapaima gigas (pirarucu) do rio Araguaia (Brasil central) na revista “A Informação Goyana” (1917-1935)","Vital, André Vasques, Tejerina-Garro, Francisco Leonardo","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 13(1); 159-174","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222018000100159&lang=pt" 
"S1516-635X2018000200371-scl","Pirarucu By-Product Acid Silage Meal in Diets for Commercial Laying Hens","Batalha, OS, Alfaia, SS, Cruz, FGG, Jesus, RS, Rufino, JPF, Silva, AF","Brazilian Journal of Poultry Science; 20(2); 371-376","Brazilian Journal of Poultry Science","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2018000200371&lang=pt" 
"S0044-59672018000100038-scl","The influence of sex ratio on the reproduction of pirarucu, Arapaima gigas, in captivity","LIMA, Adriana Ferreira","Acta Amazonica; 48(1); 38-41","Acta Amazonica","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672018000100038&lang=pt" 
"S1679-62252018000300304-scl","A review of the systematic biology of fossil and living bony-tongue fishes, Osteoglossomorpha (Actinopterygii: Teleostei)","Hilton, Eric J., Lavoué, Sébastien","Neotropical Ichthyology; 16(3); -","Neotropical Ichthyology","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252018000300304&lang=pt" 
"S1981-67232018000100451-scl","Physicochemical and sensory characterization of three different portions from commercial pirarucu (Arapaima gigas) fillets","Santos, Júlia de Souza Lira, Mársico, Eliane Teixeira, Cinquini, Miguel Antônio, Silva, Flávio Alves da, Conte Junior, Carlos Adam, Monteiro, Maria Lúcia Guerra","Brazilian Journal of Food Technology; 21(); -","Brazilian Journal of Food Technology","Inglês","2018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232018000100451&lang=pt" 
"S0101-20612017000400651-scl","Chemical composition of different muscle zones in pirarucu (Arapaima gigas)","MARTINS, Mayara Galvão, MARTINS, Déborah Elena Galvão, PENA, Rosinelson da Silva","Food Science and Technology; 37(4); 651-656","Food Science and Technology","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612017000400651&lang=pt" 
"S2077-99172017000400002-per","Identificación de parásitos en paiches &quot;Arapaima gigas&quot; juveniles","Tafur Zevallos, Lisandro, Cotrina, Marcelo","Scientia Agropecuaria; 8(4); 305-314","Scientia Agropecuaria","Espanhol","2017","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-99172017000400002&lang=pt" 
"S1807-86722017000300251-scl","Digestibility and physico-chemical characteristics of acid silage meal made of pirarucu waste in diets for commercial laying hens","Batalha, Oscarina de Souza, Alfaia, Sonia Sena, Cruz, Frank George Guimarães, Jesus, Rogério Souza de, Rufino, João Paulo Ferreira, Costa, Valcely Rocha","Acta Scientiarum. Animal Sciences; 39(3); 251-257","Acta Scientiarum. Animal Sciences","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722017000300251&lang=pt" 
"S0717-95022017000300025-chl","Morphology and Histology of the Pirarucu (Arapaima gigas) Digestive Tract","Rodrigues, Ana Paula Oeda, Cargnin-Ferreira, Eduardo","International Journal of Morphology; 35(3); 950-957","International Journal of Morphology","Inglês","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022017000300025&lang=pt" 
"S0044-59672017000200087-scl","Hematological and biochemical responses of pirarucu (Arapaima gigas, Arapaimidae) fed with diets containing a glucomannan product derived from yeast and algae","HOSHINO, Maria Danielle Figueiredo Guimarães, MARINHO, Renata das Graças Barbosa, PEREIRA, Diogle Farias, YOSHIOKA, Eliane Tie Oba, TAVARES-DIAS, Marcos, OZORIO, Rodrigo Otavio de Almeida, RODRIGUEZ, Anselmo Fortunato Ruiz, RIBEIRO, Ricardo Amaral, FARIA, Fernando Sérgio Escócio Drummond Viana de","Acta Amazonica; 47(2); 87-94","Acta Amazonica","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672017000200087&lang=pt" 
"S0001-37652017000301243-scl","A new approach to feed frequency studies and protein intake regulation in juvenile pirarucu","MATTOS, BRUNO O. DE, NASCIMENTO FILHO, EDUARDO C.T., SANTOS, ALINE A., BARRETO, KAYCK A., SÁNCHEZ-VÁZQUEZ, FRANCISCO J., FORTES-SILVA, RODRIGO","Anais da Academia Brasileira de Ciências; 89(2); 1243-1250","Anais da Academia Brasileira de Ciências","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652017000301243&lang=pt" 
"S1605-25282017000100004-bol","Primer registro del paiche, Arapaima gigas (Schinz 1822) (Osteoglossiformes: Arapaimidae) en el río Mamoré, Beni (Bolivia)","Lizarro, Dennis, Torres, Luis, Rodal, Pedro Antonio, Moreno-Aulo, Federico","Ecología en Bolivia; 52(1); 33-37","Ecología en Bolivia","Espanhol","2017","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S1605-25282017000100004&lang=pt" 
"S0100-204X2017000400271-scl","Nutritional and lipid profiles of the dorsal and ventral muscles of wild pirarucu","Cortegano, Carlos Andre Amaringo, Godoy, Leandro Cesar de, Petenuci, Maria Eugênia, Visentainer, Jesuí Vergílio, Affonso, Elizabeth Gusmão, Gonçalves, Ligia Uribe","Pesquisa Agropecuária Brasileira; 52(4); 271-276","Pesquisa Agropecuária Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2017000400271&lang=pt" 
"S1516-35982016001000581-scl","Digestibility of animal and vegetable protein ingredients by pirarucu juveniles,  Arapaima gigas","Cipriano, Filipe dos Santos, Lima, Kauana Santos de, Souza, Ricardo Henrique Bastos de, Tonini, William Cristiane Teles, Passinato, Érica Bevitório, Braga, Luís Gustavo Tavares","Revista Brasileira de Zootecnia; 45(10); 581-586","Revista Brasileira de Zootecnia","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982016001000581&lang=pt" 
"S1609-91172016000300019-per","Desarrollo de un PCR para la Identificación del Parásito Dawestrema (Trematoda: Monogenea) en el Pez Arapaima gigas","Serrano-Martínez, Enrique, Tantaleán V, Manuel, Quispe H, Marco, Casas V, Gina, Londoñe B, Pablo","Revista de Investigaciones Veterinarias del Perú; 27(3); 581-588","Revista de Investigaciones Veterinarias del Perú","Espanhol","2016","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172016000300019&lang=pt" 
"S1519-69842015000600790-scl","First record of larvae of Hysterothylacium (Nematoda: Anisakidae) with zoonotic potential in the pirarucu Arapaima gigas (Osteichthyes: Arapaimidae) from South America","Andrade-Porto, S. M., Cárdenas, M. Q., Martins, M. L., Oliveira, J. K. Q., Pereira, J. N., Araújo, C. S. O., Malta, J. C. O.","Brazilian Journal of Biology; 75(4); 790-795","Brazilian Journal of Biology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000600790&lang=pt" 
"S1679-62252015000300557-scl","Genetic diversity of Arapaima gigas (Schinz, 1822) (Osteoglossiformes: Arapaimidae) in the Araguaia-Tocantins basin estimated by ISSR marker","Vitorino, Carla A., Oliveira, Renata C. C., Margarido, Vladimir P., Venere, Paulo C.","Neotropical Ichthyology; 13(3); 557-568","Neotropical Ichthyology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252015000300557&lang=pt" 
"S0718-560X2015000400018-chl","Apparent digestibility of energetic ingredients by pirarucu juveniles, Arapaima gigas (Schinz, 1822)","Santos-Cipriano, Filipe dos, Lima, Kauana Santos de, Bevitório-Passinato, Érica, Jesus, Raildo Mota de, Magalhães Júnior, Francisco Oliveira de, Teles-Tonini, William Cristiane, Tavares-Braga, Luis Gustavo","Latin american journal of aquatic research; 43(4); 786-791","Latin american journal of aquatic research","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-560X2015000400018&lang=pt" 
"S0100-204X2015000700622-scl","Períodos de condicionamento alimentar de juvenis de pirarucu na transição da alimentação de ração úmida para seca","Souza, Rosália Furtado Cutrim, Romão Júnior, João Gomes, Fonseca, Adriana Figueiredo, Luz, Ronald Kennedy, Takata, Rodrigo","Pesquisa Agropecuária Brasileira; 50(7); 622-625","Pesquisa Agropecuária Brasileira","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2015000700622&lang=pt" 
"S1609-91172015000200017-per","Parásitos en Arapaima gigas de la Amazonía Peruana según Grupo Etario","Serrano-Martínez, Enrique, Tantaleán V, Manuel, Leguía P, Guillermo, Quispe H, Marco, Casas V, Gina C.","Revista de Investigaciones Veterinarias del Perú; 26(2); 303-309","Revista de Investigaciones Veterinarias del Perú","Espanhol","2015","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172015000200017&lang=pt" 
"S0034-737X2015000200208-scl","Environmental performance of aquaculture in Rondônia state, Brazil","Borges, Aurélio Ferreira, Santos, Anderson Alves, Rezende, José Luiz Pereira de, Borges, Maria dos Anjos Cunha Silva, Ciríaco, Abílio da Paixão, Santiago, Thaís Muniz Ottoni","Revista Ceres; 62(2); 208-214","Revista Ceres","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2015000200208&lang=pt" 
"S1983-40632015000100004-scl","Produção de hidrolisado proteico de pirarucu utilizando-se protease de Aspergillus flavo-furcatis e pancreatina","Paiva, Flávia de Carvalho, Alecrim, Mircella Marialva, Teixeira, Maria Francisca Simas, Kirsch, Larissa de Souza, Jesus, Rogério Souza de","Pesquisa Agropecuária Tropical; 45(1); 89-96","Pesquisa Agropecuária Tropical","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632015000100004&lang=pt" 
"S1679-62252015000100195-scl","Evidence of polygamy in the socially monogamous Amazonian fish Arapaima gigas (Schinz, 1822) (Osteoglossiformes, Arapaimidae)","Farias, Izeni Pires, Leão, Adam, Almeida, Yane Santos, Verba, Júlia Tovar, Crossa M., Marcelo, Honczaryk, Alexandre, Hrbek, Tomas","Neotropical Ichthyology; 13(1); 195-204","Neotropical Ichthyology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-62252015000100195&lang=pt" 
"S0066-782X2015000200009-scl","Fatty Acid and Cholesterol Concentrations in Usually Consumed Fish in Brazil","Scherr, Carlos, Gagliardi, Ana Carolina Moron, Miname, Marcio Hiroshi, Santos, Raul Dias","Arquivos Brasileiros de Cardiologia; 104(2); 152-158","Arquivos Brasileiros de Cardiologia","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2015000200009&lang=pt" 
"S1609-91172014000300010-per","Infección elevada de Nilonema senticosum en adultos de Arapaima gigas cultivados en la Amazonía peruana","Mathews D, Patrick, Ismiño O, Rosa, Malheiros, Antonio Francisco","Revista de Investigaciones Veterinarias del Perú; 25(3); 414-418","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000300010&lang=pt" 
"S1981-67232014000100010-scl","Avaliação sensorial, físico-química e microbiológica do pirarucu (Arapaima gigas, Schinz 1822) durante estocagem em gelo","Oliveira, Pedro Roberto de, Jesus, Rogério Souza de, Batista, Gilvan Machado, Lessi, Edson","Brazilian Journal of Food Technology; 17(1); 67-74","Brazilian Journal of Food Technology","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-67232014000100010&lang=pt" 
"S1609-91172014000100015-per","Aislamiento de bacterias y hongos en tejidos de paiche (Arapaima gigas) criados en cautiverio","Serrano-Martínez, Enrique, Castro P, Verónica, Quispe H, Marco, Casas V, Gina, León Q, Jorge","Revista de Investigaciones Veterinarias del Perú; 25(1); 117-122","Revista de Investigaciones Veterinarias del Perú","Espanhol","2014","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172014000100015&lang=pt" 
"S1609-91172013000400006-per","Efecto anestésico del metasulfonato de tricaína en paiches (Arapaima gigas) juveniles","Hinostroza M, Elizabeth, Serrano-Martínez, Enrique","Revista de Investigaciones Veterinarias del Perú; 24(4); 451-458","Revista de Investigaciones Veterinarias del Perú","Espanhol","2013","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172013000400006&lang=pt" 
"S1807-86722013000300001-scl","Morphology and expression of genes related to skeletal muscle growth in juveniles of pirarucu (Arapaima gigas, Arapaimatidae, Teleostei)","Carani, Fernanda Regina, Duran, Bruno Oliveira Da Silva, Paula, Tassiana Gutierrez De, Piedade, Warlen Pereira, Dal-Pai-Silva, Maeli","Acta Scientiarum. Animal Sciences; 35(3); 219-226","Acta Scientiarum. Animal Sciences","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86722013000300001&lang=pt" 
"S0102-09352013000400035-scl","Helminthes and protozoan of farmed pirarucu (Arapaima gigas) in eastern Amazon and host-parasite relationship","Marinho, R.G.B., Tavares-Dias, M., Dias-Grigório, M.K.R., Neves, L.R., Yoshioka, E.T.O., Boijink, C.L., Takemoto, R.M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 65(4); 1192-1202","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352013000400035&lang=pt" 
"S1609-91172013000200016-per","Valores hematológicos del paiche Arapaima gigas de la Amazonía peruana","Serrano M., Enrique, Leguía P., Guillermo, Quispe H., Marco, Casas V., Gina","Revista de Investigaciones Veterinarias del Perú; 24(2); 248-251","Revista de Investigaciones Veterinarias del Perú","Espanhol","2013","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1609-91172013000200016&lang=pt" 
"S1809-43412012000200015-scl","Cine-weapon: The poiesis of filming and fishing","Sautchuk, Carlos Emanuel","Vibrant: Virtual Brazilian Anthropology; 9(2); 406-430","Vibrant: Virtual Brazilian Anthropology","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-43412012000200015&lang=pt" 
"S0044-59672012000300016-scl","First record of Trichodina heterodentata (Ciliophora: Trichodinidae) from Arapaima gigas cultivated in Peru","Henostroza Miranda, Luis, Marchiori, Natalia, Rebaza Alfaro, Carmela, Martins, Maurício Laterça","Acta Amazonica; 42(3); 433-438","Acta Amazonica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672012000300016&lang=pt" 
"S0044-59672012000300005-scl","Estudos etnoictiológicos sobre o pirarucu Arapaima gigas na Amazônia Central","Lima, Liane Galvão de, Batista, Vandick da Silva","Acta Amazonica; 42(3); 337-344","Acta Amazonica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672012000300005&lang=pt" 
"S0044-59672012010300001-scl","First record of the parasite Trichodina heterodentata infesting the Amazonian pirarucu cultivated in Peru","Martins, Maurício L.","Acta Amazonica; 42(3); -","Acta Amazonica","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672012010300001&lang=pt" 
"S1984-29612011000300005-scl","Tissue alterations in the pirarucu, Arapaima gigas, infected by Goezia spinulosa (Nematoda)","Menezes, Rodrigo Caldas, Santos, Sonia Maria Cursino dos, Ceccarelli, Paulo Sérgio, Tavares, Luiz Eduardo Roland, Tortelly, Rogério, Luque, José Luis","Revista Brasileira de Parasitologia Veterinária; 20(3); 207-209","Revista Brasileira de Parasitologia Veterinária","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612011000300005&lang=pt" 
"S0102-33062011000100016-scl","Diatomáceas epilíticas de águas oligotróficas e ácidas do Sudeste do Brasil","Canani, Luís Gustavo de Castro, Menezes, Mariângela, Torgan, Lezilda Carvalho","Acta Botanica Brasilica; 25(1); 130-140","Acta Botanica Brasilica","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062011000100016&lang=pt" 
