id|pmk|ano_do_artigo|titulo_do_artigo|issn
67|45|2007|anatomical behavior of the celiacomesenteric artery of pirarucu arapaima gigas cuvier, 1817 (osteoglossiforme, arapaimidae)|7179367
68|45|2007|anatomical behavior of the celiacomesenteric artery of pirarucu arapaima gigas cuvier, 1817 (osteoglossiforme, arapaimidae)|7179367
69|46|2015|anestesia com aspersao de lippia alba nas branquias de pirarucu|15174077
70|47|2010|anestesia do pirarucu por aspersao da benzocaina diretamente nas branquias|1038478
71|48|2010|anestesia do pirarucu por aspersao da benzocaina diretamente nas branquias|1038478
72|49|2009|anestesia do pirarucu por aspersao direta nas branquias do eugenol em solucao aquosa|1038478
73|49|2009|anestesia do pirarucu por aspersao direta nas branquias do eugenol em solucao aquosa|1038478
74|50|2009|anestesia do pirarucu sem risco de afogamento de peixe pulmonado|15173887
75|50|2009|anestesia do pirarucu sem risco de afogamento de peixe pulmonado|15173887
76|51|2017|antiparasitic efficacy and blood effects of formalin on arapaima gigas (pisces: arapaimidae)|448486
77|52|2017|antiparasitic efficacy and blood effects of formalin on arapaima gigas (pisces: arapaimidae)|448486
78|52|2017|antiparasitic efficacy and blood effects of formalin on arapaima gigas (pisces: arapaimidae)|448486
79|52|2017|antiparasitic efficacy and blood effects of formalin on arapaima gigas (pisces: arapaimidae)|448486
80|52|2017|antiparasitic efficacy and blood effects of formalin on arapaima gigas (pisces: arapaimidae)|448486
81|52|2017|antiparasitic efficacy and blood effects of formalin on arapaima gigas (pisces: arapaimidae)|448486
82|53|2019|apparent digestibility coefficients of selected protein ingredients for pirarucu arapaima gigas (teleostei: osteoglo ssidae)|0718560X
83|53|2019|apparent digestibility coefficients of selected protein ingredients for pirarucu arapaima gigas (teleostei: osteoglo ssidae)|0718560X
84|54|2015|apparent digestibility of energetic ingredients by pirarucu juveniles, arapaima gigas (schinz, 1822)|0718560X
85|54|2015|apparent digestibility of energetic ingredients by pirarucu juveniles, arapaima gigas (schinz, 1822)|0718560X
86|54|2015|apparent digestibility of energetic ingredients by pirarucu juveniles, arapaima gigas (schinz, 1822)|0718560X
87|54|2015|apparent digestibility of energetic ingredients by pirarucu juveniles, arapaima gigas (schinz, 1822)|0718560X
88|54|2015|apparent digestibility of energetic ingredients by pirarucu juveniles, arapaima gigas (schinz, 1822)|0718560X
89|54|2015|apparent digestibility of energetic ingredients by pirarucu juveniles, arapaima gigas (schinz, 1822)|0718560X
90|55|2019|application of pulsed-vacuum on the salt impregnation process of pirarucu fillet|9639969
91|55|2019|application of pulsed-vacuum on the salt impregnation process of pirarucu fillet|9639969
92|55|2019|application of pulsed-vacuum on the salt impregnation process of pirarucu fillet|9639969
93|57|2016|aspectos biologicos , ecologia e fisiol ogia do pirarucu ( arapaima gigas ): uma revisao da literatura|22381910
94|56|2016|aspectos biologicos , ecologia e fisiol ogia do pirarucu ( arapaima gigas ): uma revisao da literatura|22381910
95|58|2010|aspectos e reprodutivos e perfil hormonal dos esteroides sexuais do pirarucu, arapaimas gigas ( schinz 1822), em condicoes de cativeiro.|445967
96|62|2010|aspectos e reprodutivos e perfil hormonal dos esteroides sexuais do pirarucu, arapaimas gigas ( schinz 1822), em condicoes de cativeiro.|445967
97|59|2006|aspectos e reprodutivos e perfil hormonal dos esteroides sexuais do pirarucu, arapaimas gigas ( schinz 1822), em condicoes de cativeiro.|445967
98|60|2010|aspectos e reprodutivos e perfil hormonal dos esteroides sexuais do pirarucu, arapaimas gigas ( schinz 1822), em condicoes de cativeiro.|445967
99|61|2010|aspectos e reprodutivos e perfil hormonal dos esteroides sexuais do pirarucu, arapaimas gigas ( schinz 1822), em condicoes de cativeiro.|18094392
100|63|2018|aspectos socioambientais da pesca manejada de pirarucus (arapaima gigas) no sistema de lagos jutai-cleto, reserva de desenvolvimento sustentavel mamiraua, am|19846215
101|63|2018|aspectos socioambientais da pesca manejada de pirarucus (arapaima gigas) no sistema de lagos jutai-cleto, reserva de desenvolvimento sustentavel mamiraua, am|21760675
102|64|2019|autochthonous probiotic bacteria modulate intestinal microbiota of pirarucu, arapaima gigas&lt;/i&gt;|8938849
103|64|2019|autochthonous probiotic bacteria modulate intestinal microbiota of pirarucu, arapaima gigas&lt;/i&gt;|8938849
104|66|1999|avaliacao da qualidade do pirarucu salgado-seco|
105|65|1998|avaliacao da qualidade do pirarucu, arapaima gigas (cuvier,1988) salgado-seco|
106|73|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
107|68|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
108|72|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
109|71|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
110|69|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
111|69|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
112|70|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
113|67|2003|avaliacao da qualidade microbiologica e bromatologica do pirarucu (arapaima gigas) salgado seco, comercializado nas feiras livres da cidade de manaus - am|1019171
114|74|2003|avaliacao da variabilidade genetica das populacoes de arapaima gigas (pirarucu) da bacia amazonica atraves de genes do dna mitochondrial e marcadores moleculares de microssatelites|
115|75|2009|avaliacao do conhecimento tradicional dos pescadores da rdsm aplicado a identificacao do sexo de pirarucus|1981450X
116|76|2009|avaliacao do conhecimento tradicional dos pescadores da rdsm aplicado a identificacao do sexo de pirarucus|19814518
117|77|2019|avaliacao microbiologica de pirarucu (arapaima gigas shing, 1822) salgado seco, comercializado em uma feira livre na cidade de manaus, am|24483184
118|79|2014|avaliacao microbiologica do pirarucu (arapaima gigas) salgado seco comercializado em feiras da cidade de manaus e fonte boa, amazonas|19821263
119|79|2014|avaliacao microbiologica do pirarucu (arapaima gigas) salgado seco comercializado em feiras da cidade de manaus e fonte boa, amazonas|19821263
120|79|2014|avaliacao microbiologica do pirarucu (arapaima gigas) salgado seco comercializado em feiras da cidade de manaus e fonte boa, amazonas|19821263
121|81|2002|avaliacao microbiologica do pirarucu (arapaima gigas) seco e salgado, comercializado nas feiras livres da cidade de manaus - am|1024175
122|80|2002|avaliacao microbiologica do pirarucu (arapaima gigas) seco e salgado, comercializado nas feiras livres da cidade de manaus - am|1024175
123|80|2002|avaliacao microbiologica do pirarucu (arapaima gigas) seco e salgado, comercializado nas feiras livres da cidade de manaus - am|1024175
124|82|2002|avaliacao microbiologica do pirarucu (arapaima gigas) seco e salgado, comercializado nas feiras livres da cidade de manaus - am|1024175
125|78|2002|avaliacao microbiologica do pirarucu (arapaima gigas) seco e salgado, comercializado nas feiras livres da cidade de manaus - am|1024175
126|84|2017|avaliacao sensorial da ventrecha de pirarucu defumada no municipio de itacoatiara-am|22384286
127|84|2017|avaliacao sensorial da ventrecha de pirarucu defumada no municipio de itacoatiara-am|22384286
128|84|2017|avaliacao sensorial da ventrecha de pirarucu defumada no municipio de itacoatiara-am|22384286
129|85|2017|avaliacao sensorial da ventrecha de pirarucu defumada no municipio de itacoatiara-am|22384286
130|85|2017|avaliacao sensorial da ventrecha de pirarucu defumada no municipio de itacoatiara-am|22384286
131|83|2014|avaliacao sensorial, fisico-quimica e microbiologica do pirarucu (arapaima gigas, schinz 1822) durante estocagem em gelo|19816723
132|83|2014|avaliacao sensorial, fisico-quimica e microbiologica do pirarucu (arapaima gigas, schinz 1822) durante estocagem em gelo|19816723
133|83|2014|avaliacao sensorial, fisico-quimica e microbiologica do pirarucu (arapaima gigas, schinz 1822) durante estocagem em gelo|19816723
134|86|2020|benefits of adding virginiamycin to arapaima gigas (schinz, 1822) diet cultivated in the brazilian amazon|2090908X
135|86|2020|benefits of adding virginiamycin to arapaima gigas (schinz, 1822) diet cultivated in the brazilian amazon|2090908X
136|86|2020|benefits of adding virginiamycin to arapaima gigas (schinz, 1822) diet cultivated in the brazilian amazon|2090908X
137|86|2020|benefits of adding virginiamycin to arapaima gigas (schinz, 1822) diet cultivated in the brazilian amazon|2090908X
138|90|2003|biomassa sustentavel de juvenis de pirarucu em tanques-rede de pequeno volume|0100204X
139|90|2002|biomassa sustentavel de juvenis de pirarucu em tanques-rede de pequeno volume|0100204X
140|91|2003|biomassa sustentavel de juvenis de pirarucu em tanques-rede de pequeno volume|0100204X
141|87|2003|biomassa sustentavel de juvenis de pirarucu em tanques-rede de pequeno volume|0100204X
142|88|2003|biomassa sustentavel de juvenis de pirarucu em tanques-rede de pequeno volume|16783921
143|89|2003|biomassa sustentavel de juvenis de pirarucu em tanques-rede de pequeno volume|0100204X
144|92|2017|braga nasuta (cymothoidae): an ectoparasite of the giant amazonian fish arapaima gigas (osteoglossidae) fingerlings cultured in the amazon region in northern brazil .|1807863X
145|92|2017|braga nasuta (cymothoidae): an ectoparasite of the giant amazonian fish arapaima gigas (osteoglossidae) fingerlings cultured in the amazon region in northern brazil .|1807863X
146|93|2017|braga nasuta (cymothoidae): an ectoparasite of the giant amazonian fish arapaima gigas (osteoglossidae) fingerlings cultured in the amazon region in northern brazil .|1807863X
147|94|2017|braga nasuta (cymothoidae): an ectoparasite of the giant amazonian fish arapaima gigas (osteoglossidae) fingerlings cultured in the amazon region in northern brazil .|1807863X
148|94|2017|braga nasuta (cymothoidae): an ectoparasite of the giant amazonian fish arapaima gigas (osteoglossidae) fingerlings cultured in the amazon region in northern brazil .|1807863X
149|95|2013|bulked segregant analysis of the pirarucu (arapaima gigas) genome for identification of sex-specific molecular markers|16765680
150|95|2013|bulked segregant analysis of the pirarucu (arapaima gigas) genome for identification of sex-specific molecular markers|16765680
151|95|2013|bulked segregant analysis of the pirarucu (arapaima gigas) genome for identification of sex-specific molecular markers|16765680
152|95|2013|bulked segregant analysis of the pirarucu (arapaima gigas) genome for identification of sex-specific molecular markers|16765680
153|95|2013|bulked segregant analysis of the pirarucu (arapaima gigas) genome for identification of sex-specific molecular markers|16765680
154|96|2008|capillostrongyloides arapaimae n. sp. (nematoda: capillariidae), a new intestinal parasite of the arapaima arapaima gigas in brazilian amazonia|740276
155|97|2008|capillostrongyloides arapaimae n. sp. (nematoda: capillariidae), a new intestinal parasite of the arapaima arapaima gigas in brazilian amazonia|740276
156|98|2010|caracteristicas bioquimicas e hematologicas do pirarucu arapaima gigas schinz, 1822 (arapaimidae) de cultivo semi-intensivo na amazonia|445967
157|99|2010|caracteristicas bioquimicas e hematologicas do pirarucu arapaima gigas schinz, 1822 (arapaimidae) de cultivo semi-intensivo na amazonia|445967
158|99|2010|caracteristicas bioquimicas e hematologicas do pirarucu arapaima gigas schinz, 1822 (arapaimidae) de cultivo semi-intensivo na amazonia|445967
159|99|2010|caracteristicas bioquimicas e hematologicas do pirarucu arapaima gigas schinz, 1822 (arapaimidae) de cultivo semi-intensivo na amazonia|445967
160|100|2010|caracteristicas bioquimicas e hematologicas do pirarucu arapaima gigas schinz, 1822 (arapaimidae) de cultivo semi-intensivo na amazonia|445967
161|101|2006|caracterizacao da pesca do pirarucu nos municipios de manacapuru, carauari e tapaua|19814518
162|102|2012|caracterizacao do cultivo de pirarucu no municipio de conceicao do araguaia - estado do para|18094058
163|102|2012|caracterizacao do cultivo de pirarucu no municipio de conceicao do araguaia - estado do para|18094058
164|102|2012|caracterizacao do cultivo de pirarucu no municipio de conceicao do araguaia - estado do para|18094058
165|102|2012|caracterizacao do cultivo de pirarucu no municipio de conceicao do araguaia - estado do para|18094058
166|103|2014|caracterizacao fisica de files de surubim (pseudoplatystoma sp.), pacu (piaractus mesopotamicus) e pirarucu (arapaimas gigas)|19821131
167|103|2014|caracterizacao fisica de files de surubim (pseudoplatystoma sp.), pacu (piaractus mesopotamicus) e pirarucu (arapaimas gigas)|14158167
168|104|2020|cellular oxygen consumption, ros production and ros defense in two different size-classes of an amazonian obligate air-breathing fish (arapaima gigas)|19326203
169|105|2018|changing the production chain of amazonian pirarucu|15408906
170|105|2018|changing the production chain of amazonian pirarucu|15408906
171|105|2018|changing the production chain of amazonian pirarucu|15408906
172|106|2003|characterization and isolation of dna microsatellite primers for arapaima gigas, an economically important but severely over-exploited fish species of the amazon basin|14718278
173|106|2003|characterization and isolation of dna microsatellite primers for arapaima gigas, an economically important but severely over-exploited fish species of the amazon basin|14718278
174|107|2017|characterization of microbiota in arapaima gigas intestine and isolation of potential probiotic bacteria|13645072
175|108|2017|characterization of microbiota in arapaima gigas intestine and isolation of potential probiotic bacteria|13645072
176|109|2017|chemical composition of different muscle zones in pirarucu (arapaima gigas)|1012061
177|109|2017|chemical composition of different muscle zones in pirarucu (arapaima gigas)|1012061
178|109|2017|chemical composition of different muscle zones in pirarucu (arapaima gigas)|1012061
179|110|2006|chromosomal characterization of the bonytongue arapaima gigas (osteoglossiformes: arapaimidae)|16796225
180|110|2006|chromosomal characterization of the bonytongue arapaima gigas (osteoglossiformes: arapaimidae)|16796225
181|110|2006|chromosomal characterization of the bonytongue arapaima gigas (osteoglossiformes: arapaimidae)|16796225
182|111|2017|combined osmotic dehydration and drying process of pirarucu (arapaima gigas) fillets|221155
183|111|2017|combined osmotic dehydration and drying process of pirarucu (arapaima gigas) fillets|221155
184|112|2017|comparative proteome and peptidome analysis of the cephalic fluid secreted by arapaima gigas (teleostei: osteoglossidae) during and outside parental care|19326203
185|113|2017|conservacao e biodiversidade do gigante da amazonia: pirarucu (arapaima gigas)|23185880
186|113|2017|conservacao e biodiversidade do gigante da amazonia: pirarucu (arapaima gigas)|23185880
187|114|2007|conservation strategies for arapaima gigas (schinz, 1822) and the amazonian varzea ecosystem|15196984
188|115|2007|conservation strategies for arapaima gigas (schinz, 1822) and the amazonian varzea ecosystem|15196984
189|115|2007|conservation strategies for arapaima gigas (schinz, 1822) and the amazonian varzea ecosystem|15196984
190|116|2009|conserved cytogenetic features in the amazonian arapaima arapaima gigas (schinz, 1822) from jamari river, rondonia, brazil|18741967
191|118|2009|conserved cytogenetic features in the amazonian arapaima arapaima gigas (schinz, 1822) from jamari river, rondonia, brazil|18741967
192|117|2009|conserved cytogenetic features in the amazonian arapaima arapaima gigas (schinz, 1822) from jamari river, rondonia, brazil|18741967
193|119|2018|control of hysterothylacium sp . (nematoda: anisakidae) in juvenile pirarucu ( arapaima gigas ) by the oral application of essential oil of piper aduncum|448486
194|119|2018|control of hysterothylacium sp . (nematoda: anisakidae) in juvenile pirarucu ( arapaima gigas ) by the oral application of essential oil of piper aduncum|448486
195|119|2018|control of hysterothylacium sp . (nematoda: anisakidae) in juvenile pirarucu ( arapaima gigas ) by the oral application of essential oil of piper aduncum|448486
196|119|2018|control of hysterothylacium sp . (nematoda: anisakidae) in juvenile pirarucu ( arapaima gigas ) by the oral application of essential oil of piper aduncum|448486
197|120|2018|control of hysterothylacium sp . (nematoda: anisakidae) in juvenile pirarucu ( arapaima gigas ) by the oral application of essential oil of piper aduncum|448486
198|121|2015|cost analysis of pirarucu?s (arapaima giga ss.p) nurseries: a case study in rondonia, brazilian amazonia|2249894X
199|122|2015|cost analysis of pirarucu?s (arapaima giga ss.p) nurseries: a case study in rondonia, brazilian amazonia|2249894X
200|123|2015|cost analysis of pirarucu?s (arapaima giga ss.p) nurseries: a case study in rondonia, brazilian amazonia|2249894X
201|124|2015|cost analysis of pirarucu?s (arapaima giga ss.p) nurseries: a case study in rondonia, brazilian amazonia|2249894X
202|125|2003|crescimento e composicao corporal de juvenis de pirarucu, arapaima gigas, alimentados com racao contendo diferentes niveis proteicos.|0100204X
203|125|2003|crescimento e composicao corporal de juvenis de pirarucu, arapaima gigas, alimentados com racao contendo diferentes niveis proteicos.|0100204X
204|126|2004|criacao de arapaima gigas em estufa e em sistema fechad de circulacao de agua no estado de sao paulo|469939
205|127|2010|cultivo consorciado do pirarucu|1517591X
206|130|2010|cultivo consorciado do pirarucu com a tilapia|1517591X
207|130|2010|cultivo consorciado do pirarucu com a tilapia|21778760
208|131|2010|cultivo consorciado do pirarucu com a tilapia|1517591X
209|128|2010|cultivo consorciado do pirarucu, arapaima gigas (pisces, arapaimatidae) com a tilapia oreochromis niloticus (pisces, cichlidae)|1517591X
210|129|2010|cultivo consorciado do pirarucu, com a tilapia (intercropping arapaima gigas with oreochromis niloticus)|1517591X
211|132|2003|cultivo de pirarucu (arapaima gigas) em viveiro escavado|445967
212|133|2002|cultivo de pirarucu (arapaima gigas) em viveiro escavado|445967
213|133|2002|cultivo de pirarucu (arapaima gigas) em viveiro escavado|445967
214|134|2015|cultivo de pirarucu no nordeste do brasil: historico e avancos tecnologicos|18093957
215|134|2015|cultivo de pirarucu no nordeste do brasil: historico e avancos tecnologicos|18093957
216|134|2015|cultivo de pirarucu no nordeste do brasil: historico e avancos tecnologicos|18093957
217|134|2015|cultivo de pirarucu no nordeste do brasil: historico e avancos tecnologicos|18093957
218|135|2003|cultivo do pirarucu (arapaima gigas) em viveiro escavado|445967
219|135|2003|cultivo do pirarucu (arapaima gigas) em viveiro escavado|445967
220|135|2003|cultivo do pirarucu (arapaima gigas) em viveiro escavado|445967
221|136|2003|cultivo do pirarucu (arapaima gigas) em viveiro escavado|445967
222|137|2018|curtimento de pele de pirarucu (arapaima gigas): o maior peixe da amazonia|1035827
223|137|2018|curtimento de pele de pirarucu (arapaima gigas): o maior peixe da amazonia|1035827
224|138|2009|cytogenetic studies in pirarucu (arapaima gigas) collected in two temporary lagoons, one permanent lagoon and one lagoon with a comunication with araguaia river, go|1031112
225|138|2009|cytogenetic studies in pirarucu (arapaima gigas) collected in two temporary lagoons, one permanent lagoon and one lagoon with a comunication with araguaia river, go|1031112
226|138|2008|cytogenetic studies in pirarucu (arapaima gigas) collected in two temporary lagoons, one permanent lagoon and one lagoon with a comunication with araguaia river, go|1031112
227|139|2008|cytogenetic studies in pirarucu (arapaima gigas) of lagoons in araguaia basin, go, brasil|1031112
228|139|2008|cytogenetic studies in pirarucu (arapaima gigas) of lagoons in araguaia basin, go, brasil|1031112
229|140|2016|daily self-feeding activity rhythms and dietary self-selection of pirarucu (arapaima gigas)|448486
230|140|2016|daily self-feeding activity rhythms and dietary self-selection of pirarucu (arapaima gigas)|448486
231|140|2016|daily self-feeding activity rhythms and dietary self-selection of pirarucu (arapaima gigas)|448486
232|140|2016|daily self-feeding activity rhythms and dietary self-selection of pirarucu (arapaima gigas)|448486
233|141|2018|de novo transcriptome based on next-generation sequencing reveals candidate genes with sex-specific expression in arapaima gigas (schinz, 1822), an ancient amazonian freshwater fish|19326203
234|141|2018|de novo transcriptome based on next-generation sequencing reveals candidate genes with sex-specific expression in arapaima gigas (schinz, 1822), an ancient amazonian freshwater fish|19326203
235|142|2006|densidades de pirarucu (arapaima gigas, teleostei, osteoglossidae) em lagos das reservas de desenvolvimento sustentavel mamiraua e amana, amazonas, brasil|19814518
236|143|2007|densidades de pirarucu (arapaima gigas, teleostei, osteoglossidae) nas reservas de desenvolvimento sustentavel mamiraua e amana, amazonas, brasil.|19814518
