nome_instituicao,n,sigla_uf2
universidade federal de rondonia,4,Brasil_RO
instituto nacional de pesquisas da amazonia,3,Brasil_AM
centro universitario do leste de minas gerais,1,Brasil_MG
instituto de pesquisas energeticas e nucleares,1,Brasil_SP
universidad nacional de la amazonia peruana,1,Peru
universidad peruana cayetano heredia - upch,1,Peru
